project_names,text,msg,r,t,floatatom,inlet,s,canvas,*~,outlet
0Z3_ose,16,8,0,0,2,4,0,4,0,4
0gust1_snippets-experiments,6,2,0,0,0,0,0,0,0,0
0m15_MHD2013,10,55,0,30,20,16,0,7,0,15
0x16e8bea_FlowerWaltz,5,19,8,11,15,4,9,0,26,1
0xtob_dsmi,1,3,5,2,7,4,5,1,5,0
11AndresAmezquita_ProyectoFinalPrograInteractiva,0,4,0,0,7,0,0,0,3,0
13-Synths_automatonism,3892,9758,8714,7356,1547,984,4464,2616,2916,1004
13-Synths_automatonism-midi-out,1,4,0,2,3,0,1,0,0,0
13-Synths_pm,12,4,0,6,0,10,0,0,0,1
13-synths_arduino_pd,149,138,55,159,55,84,24,48,0,71
13-synths_array_abstractions,239,133,27,191,33,74,29,53,0,51
13-synths_lira-8,412,561,334,154,0,91,208,220,593,15
13-synths_turingtest0coast,86,27,30,9,41,15,33,12,0,12
14CORE_StripInvaders,2,12,0,0,1,0,0,0,0,0
15179826_jamesarchbold_lab7,2,9,7,1,1,0,6,0,0,0
15181316_Final-Project-ANDROID-STUDIO,1,9,18,2,0,9,1,3,14,0
16davidj_Learn2Play,4,63,55,0,0,0,0,0,11,0
1powechri2_breakcore-madness,40,39,0,0,9,65,0,10,0,63
1powechri2_pure-data-4-voice-synth-and-sequencer,305,76,0,0,180,335,0,111,11,100
2-2-0_ABvideomixer,41,38,0,0,28,48,0,17,1,15
2020-nCoV_wuhan-jiayou,0,1,0,0,0,0,0,0,0,0
22736389_TwitterStream,4,4,0,0,2,0,0,0,2,0
3ecologias_FrevoExperimental,4690,6689,4389,6431,371,4373,4513,3125,1395,4177
3ecologias_adubo,64,47,14,17,8,19,16,18,0,10
3ecologias_vagaLume,414,371,63,29,186,93,49,79,56,59
3spds_bash_scripts,3,11,0,0,7,0,0,73,0,0
3spds_odum,34,37,0,1,33,0,0,1,4,0
40toes_Convergence,43,27,4,8,29,0,3,11,34,0
4ms_OwlPatches,0,8,4,1,0,0,0,0,3,0
51M30N_StuART,587,1744,505,565,405,211,319,176,125,154
51M30N_TeleGO,2,7,0,5,0,2,0,0,0,2
51M30N_python-osc-i2c,1,113,2,12,36,0,21,0,0,0
54m4n7h4_consyn,0,1,0,0,1,0,0,0,0,0
5l1v3r1_nfosc,2,9,3,0,3,0,0,5,0,0
5shekel_doodlitech,5,3,0,0,11,0,0,1,0,0
5shekel_reverseTalk,4,9,2,0,1,0,0,0,5,0
5t111111_tqrk10-lt,0,8,0,0,0,0,0,12,9,0
5tr0bl_RTAPinC_SS21,27,87,13,11,20,3,3,14,25,0
5tr0bl_rtac_ss2021_granular_synth,48,22,0,1,3,0,0,12,0,0
5un_bela-ultrasonic-distance-pd,0,4,0,1,2,0,1,0,0,0
60-hz_Ofelia-Fast-Prototyping,1612,1122,16,33,421,210,27,94,0,132
634nakajima_AUTimePitchTest,16,65,8,0,4,0,0,4,8,0
821760408-sp_Telemusik,153,125,159,18,58,16,33,18,138,15
8BitMixtape_8BitMixtapeBeatSlicer,1,5,0,8,20,0,0,0,0,0
8BitMixtape_8BitMixtape_midi_controlled,0,0,0,0,4,0,0,0,0,0
