Project_Name,Default_Branch
0Z3_ose,master
0gust1_snippets-experiments,master
0m15_MHD2013,master
0x16e8bea_FlowerWaltz,master
0xtob_dsmi,master
11AndresAmezquita_ProyectoFinalPrograInteractiva,master
13-Synths_automatonism,master
13-Synths_automatonism-midi-out,master
13-Synths_pm,master
13-synths_arduino_pd,master
13-synths_array_abstractions,master
13-synths_lira-8,master
13-synths_turingtest0coast,master
14CORE_StripInvaders,master
15179826_jamesarchbold_lab7,master
15181316_Final-Project-ANDROID-STUDIO,master
16davidj_Learn2Play,master
1powechri2_breakcore-madness,master
1powechri2_pure-data-4-voice-synth-and-sequencer,main
2-2-0_ABvideomixer,master
2020-nCoV_wuhan-jiayou,master
22736389_TwitterStream,master
3ecologias_FrevoExperimental,master
3ecologias_adubo,master
3ecologias_vagaLume,master
3spds_bash_scripts,master
3spds_odum,master
40toes_Convergence,dev
4ms_OwlPatches,master
51M30N_StuART,master
51M30N_TeleGO,master
51M30N_python-osc-i2c,main
54m4n7h4_consyn,master
5l1v3r1_nfosc,master
5shekel_doodlitech,master
5shekel_reverseTalk,master
5t111111_tqrk10-lt,master
5tr0bl_RTAPinC_SS21,main
5tr0bl_rtac_ss2021_granular_synth,master
5un_bela-ultrasonic-distance-pd,master
60-hz_Ofelia-Fast-Prototyping,main
634nakajima_AUTimePitchTest,master
821760408-sp_Telemusik,master
8BitMixtape_8BitMixtapeBeatSlicer,master
8BitMixtape_8BitMixtape_midi_controlled,master
8bitPandaPlugins_irrational-synth-software,master
8v01d_PureData,master
94dreams_7MU007---Musical-Human-Computer-Interaction,master
94dreams_7MU009-Music-Computing,master
94dreams_7MU009-Music-Computing-Re-sit,master
952895776_Ctrl-FOC-Lite,main
ACI-F15-ORG_ACI_F15,master
AJFaraday_NEMhack-TeamTTM,master
AJFaraday_NetworkEnsemble,master
AJFaraday_TTM-shoes,master
AJFaraday_Text-to-music,master
AJFaraday_controller-hack,master
AJFaraday_pd-jam,master
AJFaraday_pi-patches,master
AJFaraday_ruby-partial-generator,master
AJFaraday_scaled_up,master
ALXNDRR_hello-world,master
AMMD_ThingFishVideoDecorum,master
AR-S_Nodes,master
ARay2_Formant-Analyser,master
ATtinyTeenageRiot_BabyconMidiUSB,master
ATtinyTeenageRiot_GnusbuinoMIDI,master
AVUIs_AdamBrucePiotr,master
AVUIs_Modulant,master
AVUIs_OMove,master
AVUIs_residUUm,master
AVUIs_wat,master
Aakashpaliwal_equipshare_beta_new,master
Aakashpaliwal_equipshare_beta_new_node,master
AbrilNava_Proyecto-PI_-Abril-Nava,master
Adhesion_pdex,master
AdiBugaddi_Purple_Grain,main
AdrianoMonteiro_PDescriptors-v2,master
AdrianoMonteiro_PDescriptors_1.2,master
AdrianoMonteiro_kmeans-PD,master
AdrianoMonteiro_nsltools---C,master
Adrylen_Phaser,master
Aestial_Arduino,master
AfarsheziF_particlesBackground.github.io,master
AgnesChavez_XTrees_2020,master
Ajj2_ScanDrum,master
Akanoa_PRI,master
AlDante_arduino,master
AlanChatham_010-Heartbeat,master
AlanXW_Pd-extended,master
AlbertoBoem_Feedback_Baloon_project,master
AlbertoBoem_Pd,master
AlbertoBoem_PoetryInFormOfMovement,master
AlbertoBoem_Serial_Arduino-to-Pd,master
AlbertoBoem_Serial_Pd-to-Arduino,master
AlbertoBoem_sculpTon,master
AlejoHarris_Touchremin,master
AlesZemene_polygons,master
AlexJaeger_teensy3build,master
AlexSteckler_BlockSound,main
AlexandreFaltot_PdMicrophone,master
Alexzb8_CarSim-PureData-JS,master
Alfeezy_PDWorkshop,master
Alia-morsi_my_synth,master
Alkorin_teensyduino,master
AlonsoMarPal_FinalInteractiva,master
AlonsoMarPal_FinalPrograInteractiva,master
AmarOk1412_Scripts-CDSB,master
AmitAshar72_Synthmuse,master
AnaGVRF_audioprocedural,main
AndreasP-92_vueAuthentication,master
Andreashej_P4-synth,master
Andrew-College_Comptine-d-un-autre-ete-Pure-Data-midi,master
Andrew-College_Dance-Dance-Re-Revolution,master
Andrew-College_Fr-ckin-Lasers-,master
AndrewG57_pureData,master
AndyPohlNZ_GaitFeedback,master
Angeldude_computer-sim,master
Angeldude_pd-song,master
Anhmike_Iseekey,master
Anililiy_MicrotonalTonesGenerator,first-arrengement-change
Ann-KatrinKrenz_GenerativeGestaltung_VL,master
Ann-KatrinKrenz_NatureOfCode,master
AnnoNuem_anna,master
Anny09_programaci-n-interactiva-proyecto-2.1,master
Ant1r_threadedPofApp,main
Antar74_Beat-Multiplets,master
Antar74_Master-Metronome,master
AntoineBellemare_CoCoBrainChannel,master
AphexHenry_Pure-Data-Video-Game,master
ApocPro_Standing-Waves,master
ApocPro_hello-world,master
Apolotary_GaragebandPd,master
Apolotary_NetsendPD,master
Apolotary_SpatialPd,master
Apolotary_VuforiaTest,master
Apolotary_libpdDemo,master
Apolotary_oscbonjour,master
ArT-Programming_BIRDSinterACTION,master
AravinthPanch_araBeat,master
ArchitaZabaleta_AZ-abs,master
Arifd_pd-pulqui,master
ArmandoAlonsoRamirezCabrera_batalla-de-videojuegos-Proyecto2,master
ArnaudCourcelle_Gem-Abstractions,master
ArnaudCourcelle_RCO,master
ArnaudCourcelle_gemExamples,master
ArturAyvazyanTUMO_macTUMO,master
AruCasDas_Aru-Pure-Data,master
Atarity_mixtape-alpha,main
AtelierDigital_corpobarragem,master
AtelierNum_workshop_code_creatif_2021,main
AthomsG_volca_sample_MIDI2note,master
AudioSceneDescriptionFormat_asdf-rust,master
AurelienConil_lucibox2,master
AurelienConil_pd_advanced_ui,master
AurelienDemey_pd_generative_patch_01,main
Avichay-benishay_Pure-Data,master
Avidabits_NeuroZine,master
AvneeshSarwate_performancePlatform,master
AvneeshSarwate_periodicTablePiece,master
AxelFougues_REHABtabla,master
AydinHumphries_-and-conversion-in-Pd,master
AydinHumphries_3d_Game,master
AydinHumphries_Interactive-Nightclub-Update,master
AydinHumphries_Interface_for_AcidFilter_and_MultiOsc,master
AydinHumphries_Pd-Facebook-Patch,master
AydinHumphries_Pure-Data,master
AydinHumphries_RGB-and-CYM,master
AydinHumphries_StreamPeerTCP-to-FUDI,master
AydinHumphries_acidfilter,main
AydinHumphries_cyan-yellow-magenta,master
AydinHumphries_displayglitch,master
AydinHumphries_mousedots,master
AydinHumphries_number-atom-glitch,master
AydinHumphries_numbersliderfilter-manualvaluesetter,main
AydinHumphries_test,master
BILLJOBS_libpd-AudioBusFilterPortTest,master
BLCKPSTV_tapemovie,master
BTMachines_Machine_1,master
BackupTheBerlios_openphysic-svn,master
Ballades_Ballades,dev
Baptisteq_DICEBOX,master
Baptisteq_JK_PitchShifterVST,master
Baptisteq_PVOC_BRAID,master
Baptisteq_Prototype_pvoc_snapshot_timeline,master
BauhausUniversity_IPP-spat,master
Bcodeer_transform-audio-into-matrix,master
BeAnotherLab_Servos-Control,master
BeeCoughs_OpenBCIAudio,master
Befaco_Lich_Patches,main
BelaPlatform_Bela,master
BelaPlatform_bela_newBlog,master
Belphe13_pd-tutorials,master
Bendrien_compressor-pd,master
BenielV_sonido,master
Benitoite_hidio,master
Benitoite_pure-data_patches,master
BenjaminAntonioArteagaSierra_Proyecto-Final-Benjamin-Arteaga,master
Benolds_myo-gesture-duel-game,master
Bentleyj_Whispers,master
Beygs_ProjetInfoMus,main
BiLEnsemble_BiLE,master
Bipsen_all-persons-fictitious,master
BirminghamConservatoire_IntegraLive,develop
BlakeWewer_Arduino,master
BlakeWewer_CIS598,master
Blender-Brussels_bpy-bge-library,master
Blezzoh_drums_in_a_solar_system,master
BlokasLabs_patches,master
BlueJayLouche_gut_feeling_osc-receiver,master
Bluebell3310_Sound-Wave-Fighter,master
Bmath93_Pitch-Canvas-master,master
BobBenBan_Arduino-Junk,master
Boldhope_Silent-Speech,master
BoltMk0_LaunchpadRadioTool,master
BoltMk0_OneshotTool,master
BonjourCapsule_Capsule-Frequency-Editor,master
BooBea_hold-me-move-me-keep-me,master
Borg5of9SF_CyborgAudioToolkit,main
