Project_Name,Total_Revisions,Source_Files
0Z3_ose,53,12
0gust1_snippets-experiments,3,1
0m15_MHD2013,4,4
0x16e8bea_FlowerWaltz,7,7
0xtob_dsmi,3,1
11AndresAmezquita_ProyectoFinalPrograInteractiva,1,1
13-Synths_automatonism,637,597
13-Synths_automatonism-midi-out,1,1
13-Synths_pm,2,2
13-synths_arduino_pd,62,10
13-synths_array_abstractions,42,26
13-synths_lira-8,2177,367
13-synths_turingtest0coast,10,10
14CORE_StripInvaders,34,2
15179826_jamesarchbold_lab7,1,1
15181316_Final-Project-ANDROID-STUDIO,1,1
16davidj_Learn2Play,1,1
1powechri2_breakcore-madness,4,1
1powechri2_pure-data-4-voice-synth-and-sequencer,2,1
2-2-0_ABvideomixer,1,1
2020-nCoV_wuhan-jiayou,1,1
22736389_TwitterStream,1,1
3ecologias_FrevoExperimental,183,183
3ecologias_adubo,3,1
3ecologias_vagaLume,5,5
3spds_bash_scripts,1,1
3spds_odum,3,3
40toes_Convergence,88,25
4ms_OwlPatches,1,1
51M30N_StuART,379,201
51M30N_TeleGO,3,3
51M30N_python-osc-i2c,16,6
54m4n7h4_consyn,1,1
5l1v3r1_nfosc,1,1
5shekel_doodlitech,1,1
5shekel_reverseTalk,1,1
5t111111_tqrk10-lt,22,4
5tr0bl_RTAPinC_SS21,43,29
5tr0bl_rtac_ss2021_granular_synth,29,20
5un_bela-ultrasonic-distance-pd,1,1
60-hz_Ofelia-Fast-Prototyping,1169,330
634nakajima_AUTimePitchTest,3,1
821760408-sp_Telemusik,3,3
8BitMixtape_8BitMixtapeBeatSlicer,1,1
8BitMixtape_8BitMixtape_midi_controlled,1,1
8bitPandaPlugins_irrational-synth-software,3,2
8v01d_PureData,54,43
94dreams_7MU007---Musical-Human-Computer-Interaction,1,1
94dreams_7MU009-Music-Computing,5,5
94dreams_7MU009-Music-Computing-Re-sit,5,5
952895776_Ctrl-FOC-Lite,1,1
ACI-F15-ORG_ACI_F15,8,8
